"No.","Time","Source","Destination","Protocol","Length","Info"
"109","2.236554154","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"110","2.236557743","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=152369 Win=134272 Len=0"
"111","2.236554194","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"112","2.236564659","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=156749 Win=142976 Len=0"
"113","2.236554218","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"114","2.236573750","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=161129 Win=151680 Len=0"
"115","2.236585743","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"116","2.236589077","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=164049 Win=157568 Len=0"
"117","2.236585788","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"118","2.236596714","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=168429 Win=166400 Len=0"
"119","2.236585813","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"120","2.236604449","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=172809 Win=175104 Len=0"
"121","2.236613180","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"122","2.236616070","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=177189 Win=183808 Len=0"
"123","2.236613221","192.168.1.7","192.168.1.6","FTP-DATA","4322","FTP Data: 4268 bytes"
"124","2.236625390","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=181457 Win=192384 Len=0"
"125","2.236613253","192.168.1.7","192.168.1.6","FTP-DATA","2998","FTP Data: 2944 bytes"
"126","2.236632647","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=184401 Win=198272 Len=0"
"127","2.236648244","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"128","2.236651324","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=188497 Win=206464 Len=0"
"129","2.236648284","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"130","2.236659050","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=192593 Win=214656 Len=0"
"131","2.236648317","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
